"","date","company_name","revenue"
"1",2013-01-01,"010000001",34
"2",2013-01-01,"010000002",30
"3",2013-01-01,"010000003",16
"4",2013-01-01,"010000004",6
"5",2013-01-01,"010000005",91
"6",2013-01-01,"010000006",6
"7",2013-01-01,"010000007",26
"8",2013-01-01,"010000008",-30
"9",2013-01-01,"010000009",47
"10",2013-01-01,"010000010",37
"11",2013-01-01,"010000011",26
"12",2013-01-01,"010000012",38
"13",2013-01-01,"010000013",20
"14",2013-01-01,"010000014",53
"15",2013-01-01,"010000015",-2
"16",2013-01-01,"010000016",17
"17",2013-01-01,"010000017",44
"18",2013-01-01,"010000018",74
"19",2013-01-01,"010000019",7
"20",2013-01-01,"010000020",25
"21",2013-01-01,"010000021",32
"22",2013-01-01,"010000022",25
"23",2013-01-01,"010000023",-4
"24",2013-01-01,"010000024",9
"25",2013-01-01,"010000025",25
"26",2013-01-01,"010000026",38
"27",2013-01-01,"010000027",31
"28",2013-01-01,"010000028",28
"29",2013-01-01,"010000029",17
"30",2013-01-01,"010000030",21
"31",2013-01-01,"010000031",55
"32",2013-01-01,"010000032",30
"33",2013-01-01,"010000033",32
"34",2013-01-01,"010000034",11
"35",2013-01-01,"010000035",44
"36",2013-01-01,"010000036",10
"37",2013-01-01,"010000037",7
"38",2013-01-01,"010000038",54
"39",2013-01-01,"010000039",27
"40",2013-01-01,"010000040",21
"41",2013-01-01,"010000041",19
"42",2013-01-01,"010000042",2
"43",2013-01-01,"010000043",11
"44",2013-01-01,"010000044",45
"45",2013-01-01,"010000045",12
"46",2013-01-01,"010000046",61
"47",2013-01-01,"010000047",70
"48",2013-01-01,"010000048",43
"49",2013-01-01,"010000049",29
"50",2013-01-01,"010000050",46
"51",2013-01-01,"010000051",25
"52",2013-01-01,"010000052",43
"53",2013-01-01,"010000053",37
"54",2013-01-01,"010000054",49
"55",2013-01-01,"010000055",25
"56",2013-01-01,"010000056",55
"57",2013-01-01,"010000057",28
"58",2013-01-01,"010000058",14
"59",2013-01-01,"010000059",53
"60",2013-01-01,"010000060",41
"61",2013-01-01,"010000061",45
